Components	2010-01 QRT	2010-04 QRT	2010-07 QRT	2010-10 QRT	2011-01 QRT	2011-04 QRT	2011-07 QRT	2011-10 QRT
New	249	270	243	248	250	216	217	218
Win	20	21	17	14	103	82	32	23
Add-On	90	96	77	75	113	144	104	129
Off Drug	-125	-142	-139	-156	-266	-360	-338	-356
End	-169	-193	-232	-174	-59	0	0	0
Loss	-40	-33	-29	-23	-35	-32	-30	-33
Drop-Off	-88	-99	-105	-91	-114	-134	-142	-136
Repeat	1737	1803	1804	1811	1900	2070	2033	2097
Restart	19	14	25	14	18	18	18	18
