Components	2010-01 QRT	2010-04 QRT	2010-07 QRT	2010-10 QRT	2011-01 QRT	2011-04 QRT	2011-07 QRT	2011-10 QRT
New	53	63	57	61	69	78	55	60
Win	9	10	8	6	9	13	10	13
Add-On	66	62	53	54	57	52	47	55
Off Drug	-24	-24	-40	-40	-74	-111	-90	-75
End	-53	-49	-48	-45	-21	0	0	0
Loss	-11	-6	-6	-6	-12	-13	-13	-8
Drop-Off	-71	-54	-74	-53	-54	-68	-60	-67
Repeat	361	373	360	367	392	409	374	373
Restart	5	7	3	9	3	3	3	9
