Components	2010-01 QRT	2010-04 QRT	2010-07 QRT	2010-10 QRT	2011-01 QRT	2011-04 QRT	2011-07 QRT	2011-10 QRT
New	28	65	64	62	22	0	0	0
Win	12	10	7	18	8	0	0	0
Add-On	32	72	40	43	33	0	0	0
Off Drug	-14	-29	-21	-32	-65	-26	0	0
End	-30	-27	-33	-44	-10	0	0	0
Loss	-7	-11	-9	-10	-211	-82	-12	-4
Drop-Off	-49	-45	-49	-52	-99	-48	-3	0
Repeat	378	411	430	467	436	35	1	0
Restart	3	2	0	1	2	0	0	0
