Components	2010-01 QRT	2010-04 QRT	2010-07 QRT	2010-10 QRT	2011-01 QRT	2011-04 QRT	2011-07 QRT	2011-10 QRT
New	58	114	164	154	170	166	167	171
Win	1	22	20	26	26	27	22	26
Add-On	2	36	42	39	43	50	52	53
Off Drug	-3	-6	-16	-25	-103	-171	-186	-193
End	-60	-60	-83	-98	-31	0	0	0
Loss	0	-4	-7	-11	-19	-12	-15	-10
Drop-Off	0	-4	-23	-21	-24	-28	-37	-36
Repeat	104	172	296	406	493	562	639	701
Restart	3	3	4	1	1	1	2	7
