Components	2010-01 QRT	2010-04 QRT	2010-07 QRT	2010-10 QRT	2011-01 QRT	2011-04 QRT	2011-07 QRT	2011-10 QRT
New	589	549	575	552	557	578	566	529
Win	40	32	33	21	54	43	39	36
Add-On	125	104	122	111	100	124	115	121
Off Drug	-335	-318	-342	-378	-652	-890	-842	-863
End	-466	-498	-475	-519	-154	0	0	0
Loss	-26	-47	-42	-50	-59	-48	-43	-39
Drop-Off	-93	-96	-105	-121	-119	-93	-122	-111
Repeat	3462	3605	3623	3718	3759	3823	3877	3901
Restart	24	39	34	37	30	33	40	26
