Components	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
New	178	187	224	186	190	173	160	183	232	190	203	159	194	181	182	185	190	203	202	171	193	176	177	176
Win	18	13	9	11	13	8	11	11	11	8	4	9	13	17	25	16	17	10	13	11	15	10	13	13
Add-On	42	46	37	36	30	42	46	42	38	34	42	39	42	37	23	43	47	38	42	32	43	49	43	30
Off Drug	-121	-105	-111	-118	-98	-104	-111	-109	-126	-121	-128	-130	-103	-265	-286	-300	-272	-319	-261	-311	-277	-294	-326	-245
End	-167	-151	-148	-162	-166	-170	-170	-159	-146	-190	-170	-159	-154	0	0	0	0	0	0	0	0	0	0	0
Loss	-9	-10	-7	-14	-9	-24	-18	-9	-15	-16	-14	-20	-10	-24	-25	-18	-21	-9	-8	-14	-21	-16	-11	-14
Drop-Off	-31	-31	-32	-32	-33	-33	-33	-30	-44	-44	-41	-39	-44	-31	-48	-19	-32	-43	-45	-39	-40	-37	-43	-34
Repeat	2865	2909	2953	2999	3047	3064	3059	3067	3086	3114	3100	3126	3166	3215	3198	3207	3238	3224	3289	3288	3309	3316	3285	3345
Restart	8	5	11	10	17	12	9	17	8	16	8	13	10	11	9	10	13	10	9	14	17	8	6	12
