Components	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
New	82	84	83	88	93	89	89	75	79	79	88	81	82	80	88	65	87	64	59	66	92	79	65	74
Win	7	9	4	7	3	11	9	5	3	4	5	5	5	30	68	56	18	8	8	10	14	12	3	10
Add-On	33	37	22	37	29	36	18	32	28	19	32	26	28	58	28	46	62	41	41	35	34	48	49	38
Off Drug	-44	-37	-47	-55	-39	-49	-54	-47	-38	-57	-54	-46	-52	-108	-108	-126	-119	-119	-127	-116	-95	-119	-121	-116
End	-60	-60	-49	-60	-66	-67	-85	-76	-71	-66	-54	-54	-59	0	0	0	0	0	0	0	0	0	0	0
Loss	-18	-13	-9	-11	-15	-7	-12	-10	-7	-5	-7	-11	-6	-14	-16	-9	-15	-8	-13	-6	-11	-8	-14	-11
Drop-Off	-25	-21	-45	-34	-31	-35	-40	-34	-33	-31	-25	-38	-32	-39	-48	-40	-43	-53	-49	-46	-50	-53	-40	-45
Repeat	1439	1472	1510	1504	1535	1548	1537	1533	1529	1521	1535	1565	1583	1583	1636	1701	1755	1788	1770	1762	1772	1788	1808	1811
Restart	5	11	3	3	5	6	12	6	7	5	4	5	3	5	10	10	5	3	4	8	6	6	7	5
