Components	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
New	11	8	9	19	19	27	11	13	40	23	25	14	15	7	0	0	0	0	0	0	0	0	0	0
Win	2	4	6	4	3	3	2	4	1	3	9	6	2	5	1	0	0	0	0	0	0	0	0	0
Add-On	11	13	8	26	35	12	13	16	12	15	18	11	16	16	1	0	0	0	0	0	0	0	0	0
Off Drug	-6	-3	-5	-21	-2	-6	-12	-4	-5	-12	-11	-9	-8	-16	-41	-13	-11	-2	0	0	0	0	0	0
End	-10	-13	-7	-10	-5	-12	-8	-10	-15	-19	-13	-12	-10	0	0	0	0	0	0	0	0	0	0	0
Loss	-6	-1	0	-4	-4	-3	-3	-1	-5	-5	-1	-4	-3	-43	-165	-62	-14	-6	-6	-2	-4	-1	-1	-2
Drop-Off	-8	-7	-35	-24	-10	-11	-17	-14	-19	-16	-20	-16	-12	-24	-63	-37	-9	-2	-1	-2	0	0	0	0
Repeat	332	337	321	291	334	368	371	374	367	376	379	394	401	364	132	35	7	3	1	0	0	0	0	0
Restart	1	2	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
