Components	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
New	0	0	0	0	1	0	0	0	1	1	0	0	2	3	1	0	0	1	0	1	0	0	0	0
Win	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	1	0	1	0	0	0	1
Add-On	0	0	0	1	1	0	2	0	1	1	0	1	1	0	0	1	0	1	5	1	1	0	1	0
Off Drug	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-2	-3	0	-1	-2	0	-1	-1	0	-1
End	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Loss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Drop-Off	0	0	0	0	-1	-1	0	-2	0	-1	0	0	-1	-1	-1	-2	-1	-1	-2	-2	0	-1	0	0
Repeat	3	3	3	3	2	3	4	4	5	6	7	8	7	9	10	8	10	8	7	10	12	10	10	10
Restart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
