Components	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
New	21	15	22	34	43	37	41	64	59	62	42	50	57	61	52	54	55	57	69	47	51	64	53	54
Win	0	0	1	4	5	13	7	4	9	10	8	8	3	11	12	4	14	9	6	8	8	6	9	11
Add-On	0	0	2	11	13	12	15	10	17	14	20	6	18	18	7	20	17	13	15	26	13	17	21	15
Off Drug	-2	-1	0	-1	-1	-4	-3	-7	-6	-7	-10	-8	-9	-42	-52	-55	-53	-63	-51	-77	-58	-61	-63	-69
End	-16	-21	-23	-18	-24	-18	-20	-36	-27	-28	-33	-37	-31	0	0	0	0	0	0	0	0	0	0	0
Loss	0	0	0	0	-2	-2	0	-3	-4	-4	-5	-2	-5	-8	-6	-4	-6	-2	-6	-3	-6	-5	-2	-3
Drop-Off	0	0	0	0	-3	-1	-6	-5	-12	-9	-4	-11	-10	-6	-10	-6	-9	-13	-18	-9	-11	-16	-9	-13
Repeat	63	67	60	67	87	124	160	177	209	252	293	310	329	357	385	401	424	441	460	479	498	505	538	559
Restart	3	0	0	1	0	2	3	1	0	0	0	1	0	0	1	0	1	0	1	0	1	2	4	1
