Components	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
New	315	306	345	331	360	321	313	339	403	360	363	322	355	340	337	321	373	337	334	298	334	330	321	319
Win	38	32	21	31	31	40	36	28	31	32	30	38	29	95	207	109	65	35	41	36	49	34	31	37
Add-On	112	139	82	140	135	128	116	121	119	109	130	108	139	181	109	146	165	127	133	125	119	148	149	112
Off Drug	-186	-153	-166	-207	-144	-171	-191	-175	-192	-204	-208	-209	-183	-453	-503	-545	-484	-555	-502	-537	-456	-500	-527	-459
End	-258	-253	-252	-265	-275	-284	-292	-293	-267	-315	-280	-266	-271	0	0	0	0	0	0	0	0	0	0	0
Loss	-38	-32	-21	-31	-31	-40	-36	-28	-31	-32	-30	-38	-29	-95	-207	-109	-65	-35	-41	-36	-49	-34	-31	-37
Drop-Off	-89	-86	-144	-108	-108	-106	-121	-114	-132	-125	-114	-130	-128	-120	-205	-137	-142	-147	-152	-124	-138	-148	-126	-138
Repeat	4415	4497	4561	4593	4701	4772	4778	4792	4834	4901	4962	5035	5147	5199	5160	5224	5292	5310	5354	5347	5404	5445	5457	5528
Restart	18	19	17	17	25	21	26	25	15	27	12	22	15	16	22	20	19	16	16	23	24	20	18	22
