Components	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10
New	10	11	14	17	8	10	13	14	15	17	12	10	8	20	18	22	27	13	12	12	8	14	17	14
Win	8	3	2	1	3	3	7	3	5	7	3	8	6	35	108	35	13	5	9	8	11	7	5	4
Add-On	9	15	4	8	12	6	10	8	6	12	10	10	18	33	40	30	20	19	17	25	17	23	21	14
Off Drug	-6	-5	-2	-6	-3	-5	-7	-5	-11	-5	-6	-7	-6	-16	-10	-39	-26	-31	-34	-28	-20	-23	-11	-26
End	-5	-6	-9	-11	-8	-6	-5	-6	-8	-6	-6	-11	-7	0	0	0	0	0	0	0	0	0	0	0
Loss	-2	-2	-3	-1	-1	-2	-1	-1	-1	-1	0	-1	-3	-5	0	-13	-8	-8	-4	-8	-5	0	-3	-5
Drop-Off	-6	-7	-8	-10	-7	-10	-3	-7	-9	-10	-7	-10	-10	-9	-26	-22	-26	-20	-19	-15	-25	-21	-20	-22
Repeat	163	174	184	181	190	194	202	219	220	231	255	256	266	275	333	431	468	481	471	469	473	478	497	496
Restart	0	0	0	0	1	0	1	0	1	2	0	1	0	0	2	0	0	2	0	1	1	2	1	0
