Components	2010-01 QRT	2010-04 QRT	2010-07 QRT	2010-10 QRT	2011-01 QRT	2011-04 QRT	2011-07 QRT	2011-10 QRT
New	35	35	42	39	46	62	32	45
Win	13	7	15	18	149	53	28	16
Add-On	28	25	24	32	90	68	58	57
Off Drug	-13	-14	-23	-18	-32	-96	-82	-60
End	-20	-25	-19	-23	-7	0	0	0
Loss	-7	-4	-3	-2	-8	-29	-17	-8
Drop-Off	-20	-27	-19	-26	-45	-66	-56	-62
Repeat	217	226	257	292	375	564	554	564
Restart	0	1	2	3	2	2	2	3
